type,subtype,ts,user,text,client_msg_id,team,user_team,source_team,user_profile,blocks,reactions,files,upload,display_as_bot,thread_ts,reply_count,reply_users_count,latest_reply,reply_users,replies,is_locked,subscribed,parent_user_id,bot_id,bot_profile,last_read,attachments,edited,inviter,channel_name
message,,1619694057.0028,U01S7KCL3DF,send us a slide deck with your proposal and the committee will give it careful consideration,4946cb1e-45ee-42d9-ba8f-90520af8e849,T01RBRV5F7H,T01RBRV5F7H,T01RBRV5F7H,"{'avatar_hash': '17b52091bb62', 'image_72': 'https://avatars.slack-edge.com/2021-03-19/1875964347925_17b52091bb62c2340b4c_72.png', 'first_name': 'Sam', 'real_name': 'Sam Katterfield', 'display_name': 'Sam', 'team': 'T01RBRV5F7H', 'name': 'samkatterfield', 'is_restricted': False, 'is_ultra_restricted': False}","[{'type': 'rich_text', 'block_id': 'aBkPx', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'send us a slide deck with your proposal and the committee will give it careful consideration'}]}]}]","[{'name': 'joy', 'users': ['U01RSRE0N3D', 'U01SK96QF5E'], 'count': 2}]",,,,1619693939.0025,,,,,,,,U01RN7BVD1C,,,,,,,funcommittee
message,,1619695436.0031,U01S0E0MRJ7,they also just launched this immersive view where we can all sit in a virtual classroom,5da96a6a-aa8e-4ade-98c6-09aca1ec9862,T01RBRV5F7H,T01RBRV5F7H,T01RBRV5F7H,"{'avatar_hash': 'ad6853d3a1f4', 'image_72': 'https://avatars.slack-edge.com/2021-04-16/1993872127808_ad6853d3a1f43da8ec48_72.jpg', 'first_name': '', 'real_name': 'Davis Pudans', 'display_name': 'Davis Pudans', 'team': 'T01RBRV5F7H', 'name': 'd.pudans', 'is_restricted': False, 'is_ultra_restricted': False}","[{'type': 'rich_text', 'block_id': '7JxJ0', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'they also just launched this immersive view where we can all sit in a virtual classroom'}]}]}]",,,,,1619693939.0025,,,,,,,,U01RN7BVD1C,,,,,,,funcommittee
message,,1619695441.0033,U01RN7BVD1C,challenge accepted,851e1ee0-0715-44a9-a320-ab89fb0edce9,T01RBRV5F7H,T01RBRV5F7H,T01RBRV5F7H,"{'avatar_hash': '55e0c1b57456', 'image_72': 'https://avatars.slack-edge.com/2021-03-20/1882033802643_55e0c1b574562994417f_72.jpg', 'first_name': 'Josephine', 'real_name': 'Josephine Biedermann', 'display_name': 'Phine', 'team': 'T01RBRV5F7H', 'name': 'josephinebiedermann', 'is_restricted': False, 'is_ultra_restricted': False}","[{'type': 'rich_text', 'block_id': 'Dzx', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'challenge accepted'}]}]}]",,,,,1619693939.0025,,,,,,,,U01RN7BVD1C,,,,,,,funcommittee
message,,1619700334.0037,U01RW140HBP,im into it,5ff2e31e-4630-4dd1-94c5-36a865737d04,T01RBRV5F7H,T01RBRV5F7H,T01RBRV5F7H,"{'avatar_hash': '4c43a3a8d10b', 'image_72': 'https://avatars.slack-edge.com/2021-03-21/1895736308209_4c43a3a8d10bc2fe5e13_72.png', 'first_name': 'siand', 'real_name': 'siand the LT (she/her)', 'display_name': 'siand the LT (she/her)', 'team': 'T01RBRV5F7H', 'name': 'sian.davies', 'is_restricted': False, 'is_ultra_restricted': False}","[{'type': 'rich_text', 'block_id': 'dTuE', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'im into it'}]}]}]",,,,,1619693939.0025,,,,,,,,U01RN7BVD1C,,,,,,,funcommittee
message,,1619704350.0041,U01RRV4JX6Z,How do you do that?,50e8e68f-49ce-4c80-9c64-af6f5f7c8309,T01RBRV5F7H,T01RBRV5F7H,T01RBRV5F7H,"{'avatar_hash': '339c4d69b7d9', 'image_72': 'https://avatars.slack-edge.com/2021-04-14/1961122781618_339c4d69b7d9fe16343a_72.jpg', 'first_name': '', 'real_name': 'Francisco Ebeling', 'display_name': 'Francisco Ebeling', 'team': 'T01RBRV5F7H', 'name': 'ebelingbarros', 'is_restricted': False, 'is_ultra_restricted': False}","[{'type': 'rich_text', 'block_id': 'Gi1aV', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'How do you do that?'}]}]}]",,,,,1619693939.0025,,,,,,,,U01RN7BVD1C,,,,,,,funcommittee
message,,1619704930.0043,U01RN7BVD1C,is in  the video settings in zoom where the backgrounds are :slightly_smiling_face:,7b80b30a-5bcb-4b32-9136-adb6cce65895,T01RBRV5F7H,T01RBRV5F7H,T01RBRV5F7H,"{'avatar_hash': '55e0c1b57456', 'image_72': 'https://avatars.slack-edge.com/2021-03-20/1882033802643_55e0c1b574562994417f_72.jpg', 'first_name': 'Josephine', 'real_name': 'Josephine Biedermann', 'display_name': 'Phine', 'team': 'T01RBRV5F7H', 'name': 'josephinebiedermann', 'is_restricted': False, 'is_ultra_restricted': False}","[{'type': 'rich_text', 'block_id': 'JiZTA', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'is in  the video settings in zoom where the backgrounds are '}, {'type': 'emoji', 'name': 'slightly_smiling_face'}]}]}]","[{'name': 'tada', 'users': ['U01RRV4JX6Z'], 'count': 1}]",,,,1619693939.0025,,,,,,,,U01RN7BVD1C,,,,,,,funcommittee
message,,1617970760.0003,U01SJKB2MG8,<https://www.youtube.com/watch?v=I-OOpZitfd0>,8a7f0783-1c53-411d-9203-308da8704085,T01RBRV5F7H,T01RBRV5F7H,T01RBRV5F7H,"{'avatar_hash': '88fa894fdb53', 'image_72': 'https://avatars.slack-edge.com/2021-03-19/1885033153332_88fa894fdb5366452adf_72.jpg', 'first_name': 'Florian', 'real_name': 'Florian Titze', 'display_name': 'Flo Titze', 'team': 'T01RBRV5F7H', 'name': 'florian.titze', 'is_restricted': False, 'is_ultra_restricted': False}","[{'type': 'rich_text', 'block_id': 'DNjb', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'link', 'url': 'https://www.youtube.com/watch?v=I-OOpZitfd0'}]}]}]","[{'name': 'joy', 'users': ['U01RSRE0N3D'], 'count': 1}]",,,,,,,,,,,,,,,,"[{'service_name': 'YouTube', 'service_url': 'https://www.youtube.com/', 'title': 'Every Single Scandinavian Crime Drama', 'title_link': 'https://www.youtube.com/watch?v=I-OOpZitfd0', 'author_name': 'Alasdair Beckett-King', 'author_link': 'https://www.youtube.com/c/ABeckettKing', 'thumb_url': 'https://i.ytimg.com/vi/I-OOpZitfd0/hqdefault.jpg', 'thumb_width': 480, 'thumb_height': 360, 'fallback': 'YouTube Video: Every Single Scandinavian Crime Drama', 'video_html': '<iframe width=""400"" height=""225"" src=""https://www.youtube.com/embed/I-OOpZitfd0?feature=oembed&autoplay=1&iv_load_policy=3"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>', 'video_html_width': 400, 'video_html_height': 225, 'from_url': 'https://www.youtube.com/watch?v=I-OOpZitfd0', 'service_icon': 'https://a.slack-edge.com/80588/img/unfurl_icons/youtube.png', 'id': 1, 'original_url': 'https://www.youtube.com/watch?v=I-OOpZitfd0'}]",,,funcommittee
message,,1617357583.0015,U01RSRE0N3D,"Reminder <!channel>,
if you want to volunteer and join the *Fun Committee,* please PM me by the end of the day :v:",3e1c9d33-03e8-4e01-be10-a3ab1d93d5f0,T01RBRV5F7H,T01RBRV5F7H,T01RBRV5F7H,"{'avatar_hash': '5b0571ca5e6f', 'image_72': 'https://avatars.slack-edge.com/2021-03-18/1876877550179_5b0571ca5e6fe1f759fe_72.jpg', 'first_name': 'Kosta', 'real_name': 'Kosta', 'display_name': 'Kosta', 'team': 'T01RBRV5F7H', 'name': 'kostadin.mitkov', 'is_restricted': False, 'is_ultra_restricted': False}","[{'type': 'rich_text', 'block_id': 'HlO5', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Reminder '}, {'type': 'broadcast', 'range': 'channel'}, {'type': 'text', 'text': ',\nif you want to volunteer and join the '}, {'type': 'text', 'text': 'Fun Committee,', 'style': {'bold': True}}, {'type': 'text', 'text': ' please PM me by the end of the day '}, {'type': 'emoji', 'name': 'v'}]}]}]",,,,,,,,,,,,,,,,,,,,funcommittee
message,,1617118627.0101,U01S7KCL3DF,"speaking of fun in the sun... if anyone fancies a post-bootcamp stroll tomorrow (wednesday) in Prenzlauer Berg or Friedrichshain, feel free to reach out :sunglasses:  :icecream:",9f63df4b-1bf9-4815-925e-d9d44177e5a9,T01RBRV5F7H,T01RBRV5F7H,T01RBRV5F7H,"{'avatar_hash': '17b52091bb62', 'image_72': 'https://avatars.slack-edge.com/2021-03-19/1875964347925_17b52091bb62c2340b4c_72.png', 'first_name': 'Sam', 'real_name': 'Sam Katterfield', 'display_name': 'Sam', 'team': 'T01RBRV5F7H', 'name': 'samkatterfield', 'is_restricted': False, 'is_ultra_restricted': False}","[{'type': 'rich_text', 'block_id': 'xyzw6', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'speaking of fun in the sun... if anyone fancies a post-bootcamp stroll tomorrow (wednesday) in Prenzlauer Berg or Friedrichshain, feel free to reach out '}, {'type': 'emoji', 'name': 'sunglasses'}, {'type': 'text', 'text': '  '}, {'type': 'emoji', 'name': 'icecream'}]}]}]","[{'name': 'pizza', 'users': ['U01RW2X7S9Z'], 'count': 1}, {'name': 'doughnut', 'users': ['U01S7KCL3DF'], 'count': 1}, {'name': 'raised_hands', 'users': ['U01RSRE0N3D'], 'count': 1}]",,,,1617118627.0101,1.0,1.0,1617119626.0109,['U01RSRE0N3D'],"[{'user': 'U01RSRE0N3D', 'ts': '1617119626.010900'}]",0.0,1.0,,,,1617119626.0109,,,,funcommittee
message,,1617118658.0105,U01RXCQHMHT,what about weekends?,fc1f79ae-f251-414f-bf49-7563d6863c15,T01RBRV5F7H,T01RBRV5F7H,T01RBRV5F7H,"{'avatar_hash': '7290c61c38a0', 'image_72': 'https://avatars.slack-edge.com/2021-03-22/1898002028225_7290c61c38a01ad66680_72.jpg', 'first_name': 'Thanh', 'real_name': 'Thanh Tung Ha Thuc DAFT Berlin March 2021', 'display_name': 'Tony Ha', 'team': 'T01RBRV5F7H', 'name': 'tony.hathuc', 'is_restricted': False, 'is_ultra_restricted': False}","[{'type': 'rich_text', 'block_id': 'J=7B', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'what about weekends?'}]}]}]",,,,,1617118658.0105,1.0,1.0,1617118796.0106,['U01S7KCL3DF'],"[{'user': 'U01S7KCL3DF', 'ts': '1617118796.010600'}]",0.0,0.0,,,,,,,,funcommittee
message,,1617118796.0106,U01S7KCL3DF,also good for strollin' :walking:,639ae5c6-8f17-4dca-a098-215331798e56,T01RBRV5F7H,T01RBRV5F7H,T01RBRV5F7H,"{'avatar_hash': '17b52091bb62', 'image_72': 'https://avatars.slack-edge.com/2021-03-19/1875964347925_17b52091bb62c2340b4c_72.png', 'first_name': 'Sam', 'real_name': 'Sam Katterfield', 'display_name': 'Sam', 'team': 'T01RBRV5F7H', 'name': 'samkatterfield', 'is_restricted': False, 'is_ultra_restricted': False}","[{'type': 'rich_text', 'block_id': 't=f', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': ""also good for strollin' ""}, {'type': 'emoji', 'name': 'walking'}]}]}]",,,,,1617118658.0105,,,,,,,,U01RXCQHMHT,,,,,,,funcommittee
