type,subtype,ts,user,text,inviter,client_msg_id,team,user_team,source_team,user_profile,blocks,thread_ts,parent_user_id,reactions,reply_count,reply_users_count,latest_reply,reply_users,replies,is_locked,subscribed,last_read,attachments,files,upload,display_as_bot,edited,channel_name
message,,1620898751.0462,U01RN7BVD1C,Are we still 10 min behind?,,70ab4358-8867-4b28-9944-7e675da0f678,T01RBRV5F7H,T01RBRV5F7H,T01RBRV5F7H,"{'avatar_hash': '55e0c1b57456', 'image_72': 'https://avatars.slack-edge.com/2021-03-20/1882033802643_55e0c1b574562994417f_72.jpg', 'first_name': 'Josephine', 'real_name': 'Josephine Biedermann', 'display_name': 'Phine', 'team': 'T01RBRV5F7H', 'name': 'josephinebiedermann', 'is_restricted': False, 'is_ultra_restricted': False}","[{'type': 'rich_text', 'block_id': 'XoOF', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Are we still 10 min behind?'}]}]}]",1620894549.0413,U01RSRE0N3D,"[{'name': '+1', 'users': ['U01RSRE0N3D'], 'count': 1}]",,,,,,,,,,,,,,finalproject
message,,1620927526.0496,U01S133DZ9A,"*Indexing question*
I want to iterate through a dictionary and retrieve values where they exist. But the key only appears in some of the items. So if I just include it in the for loop it breaks the code (looking for a key that does not exist).
I need smth that says:

if textlist[0]['reply_count'] is in the item then
    give me it
else:
    don't

*Any ideas?* ",,ff26d77a-6f67-4944-8d2a-d74bd020aaa1,T01RBRV5F7H,T01RBRV5F7H,T01RBRV5F7H,"{'avatar_hash': 'adb8b81e55b5', 'image_72': 'https://avatars.slack-edge.com/2021-03-23/1887337161925_adb8b81e55b5ac488cf1_72.jpg', 'first_name': 'Simon', 'real_name': 'Simon Data', 'display_name': 'Simon Data', 'team': 'T01RBRV5F7H', 'name': 'simples707data', 'is_restricted': False, 'is_ultra_restricted': False}","[{'type': 'rich_text', 'block_id': 'WlcF', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Indexing question', 'style': {'bold': True}}, {'type': 'text', 'text': ""\nI want to iterate through a dictionary and retrieve values where they exist. But the key only appears in some of the items. So if I just include it in the for loop it breaks the code (looking for a key that does not exist).\nI need smth that says:\n\nif textlist[0]['reply_count'] is in the item then\n    give me it\nelse:\n    don't\n\n""}, {'type': 'text', 'text': 'Any ideas? ', 'style': {'bold': True}}]}]}]",1620927526.0496,,,4.0,2.0,1620931071.0505,"['U01S7KCL3DF', 'U01S133DZ9A']","[{'user': 'U01S7KCL3DF', 'ts': '1620928399.049700'}, {'user': 'U01S133DZ9A', 'ts': '1620930137.050000'}, {'user': 'U01S133DZ9A', 'ts': '1620930150.050200'}, {'user': 'U01S7KCL3DF', 'ts': '1620931071.050500'}]",0.0,0.0,,,,,,,finalproject
message,,1620928399.0497,U01S7KCL3DF,"<https://www.w3schools.com/python/python_try_except.asp>

something like that? It came up on zoom so i cant copy and paste

basically ’try (something)

except (when something doesnt work)
     continue….",,394303a5-a755-4f88-872b-da3e1e81be4f,T01RBRV5F7H,T01RBRV5F7H,T01RBRV5F7H,"{'avatar_hash': '17b52091bb62', 'image_72': 'https://avatars.slack-edge.com/2021-03-19/1875964347925_17b52091bb62c2340b4c_72.png', 'first_name': 'Sam', 'real_name': 'Sam Katterfield', 'display_name': 'Sam', 'team': 'T01RBRV5F7H', 'name': 'samkatterfield', 'is_restricted': False, 'is_ultra_restricted': False}","[{'type': 'rich_text', 'block_id': 'qUb', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'link', 'url': 'https://www.w3schools.com/python/python_try_except.asp'}, {'type': 'text', 'text': '\n\nsomething like that? It came up on zoom so i cant copy and paste\n\nbasically ’try (something)\n\nexcept (when something doesnt work)\n     continue….'}]}]}]",1620927526.0496,U01S133DZ9A,,,,,,,,,,"[{'title': 'Python Try Except', 'title_link': 'https://www.w3schools.com/python/python_try_except.asp', 'text': 'Well organized and easy to understand Web building tutorials with lots of examples of how to use HTML, CSS, JavaScript, SQL, PHP, Python, Bootstrap, Java and XML.', 'fallback': 'Python Try Except', 'from_url': 'https://www.w3schools.com/python/python_try_except.asp', 'service_icon': 'https://www.w3schools.com/favicon.ico', 'service_name': 'w3schools.com', 'id': 1, 'original_url': 'https://www.w3schools.com/python/python_try_except.asp'}]",,,,,finalproject
message,,1620930137.05,U01S133DZ9A,It worked!,,8b9ee2b9-b415-4af1-834e-fb8a07d027d1,T01RBRV5F7H,T01RBRV5F7H,T01RBRV5F7H,"{'avatar_hash': 'adb8b81e55b5', 'image_72': 'https://avatars.slack-edge.com/2021-03-23/1887337161925_adb8b81e55b5ac488cf1_72.jpg', 'first_name': 'Simon', 'real_name': 'Simon Data', 'display_name': 'Simon Data', 'team': 'T01RBRV5F7H', 'name': 'simples707data', 'is_restricted': False, 'is_ultra_restricted': False}","[{'type': 'rich_text', 'block_id': '3NJQ', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'It worked!'}]}]}]",1620927526.0496,U01S133DZ9A,,,,,,,,,,,,,,,finalproject
message,,1620930150.0502,U01S133DZ9A,Nice one Sam - you saved my evening :wink:,,74b9070f-6765-4284-b930-ba86f6e1aa8f,T01RBRV5F7H,T01RBRV5F7H,T01RBRV5F7H,"{'avatar_hash': 'adb8b81e55b5', 'image_72': 'https://avatars.slack-edge.com/2021-03-23/1887337161925_adb8b81e55b5ac488cf1_72.jpg', 'first_name': 'Simon', 'real_name': 'Simon Data', 'display_name': 'Simon Data', 'team': 'T01RBRV5F7H', 'name': 'simples707data', 'is_restricted': False, 'is_ultra_restricted': False}","[{'type': 'rich_text', 'block_id': 'bQM', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Nice one Sam - you saved my evening '}, {'type': 'emoji', 'name': 'wink'}]}]}]",1620927526.0496,U01S133DZ9A,"[{'name': 'dimitri', 'users': ['U01S7KCL3DF'], 'count': 1}]",,,,,,,,,,,,,,finalproject
message,,1620931071.0505,U01S7KCL3DF,This is all thanks to Alex,,b889f980-dc2f-45a0-b996-238d662d548e,T01RBRV5F7H,T01RBRV5F7H,T01RBRV5F7H,"{'avatar_hash': '17b52091bb62', 'image_72': 'https://avatars.slack-edge.com/2021-03-19/1875964347925_17b52091bb62c2340b4c_72.png', 'first_name': 'Sam', 'real_name': 'Sam Katterfield', 'display_name': 'Sam', 'team': 'T01RBRV5F7H', 'name': 'samkatterfield', 'is_restricted': False, 'is_ultra_restricted': False}","[{'type': 'rich_text', 'block_id': '9NBcb', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'This is all thanks to Alex'}]}]}]",1620927526.0496,U01S133DZ9A,,,,,,,,,,,,,,,finalproject
message,,1620803241.018,U01RW140HBP,"*what is an elevator pitch?*
Tomorrow we will ask you to deliver a succinct verbal proposal to us for your final project.
I am calling it an elevator pitch because we want you to be brief - stay within 1 minute …. we might ask you to expand on any of the following:
• whats the data question /hypothesis? 
• why have you chosen this topic?
• wheres your data coming from?
• are there any challenges you can foresee with the topic? ",,224b6e89-2143-4010-aab5-b28f6fa0f843,T01RBRV5F7H,T01RBRV5F7H,T01RBRV5F7H,"{'avatar_hash': '4c43a3a8d10b', 'image_72': 'https://avatars.slack-edge.com/2021-03-21/1895736308209_4c43a3a8d10bc2fe5e13_72.png', 'first_name': 'siand', 'real_name': 'siand the LT (she/her)', 'display_name': 'siand the LT (she/her)', 'team': 'T01RBRV5F7H', 'name': 'sian.davies', 'is_restricted': False, 'is_ultra_restricted': False}","[{'type': 'rich_text', 'block_id': 'mo0e', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'what is an elevator pitch?', 'style': {'bold': True}}, {'type': 'text', 'text': '\nTomorrow we will ask you to deliver a succinct verbal proposal to us for your final project.\nI am calling it an elevator pitch because we want you to be brief - stay within 1 minute …. we might ask you to expand on any of the following:\n'}]}, {'type': 'rich_text_list', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'whats the data question /hypothesis? '}]}, {'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'why have you chosen this topic?'}]}, {'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'wheres your data coming from?'}]}, {'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'are there any challenges you can foresee with the topic? '}]}], 'style': 'bullet', 'indent': 0}]}]",,,"[{'name': 'pray', 'users': ['U01RKN0EGDV', 'U01S79YDELR'], 'count': 2}]",,,,,,,,,,,,,,finalproject
message,,1620806994.0183,U01RW140HBP,have you checked <https://research.google.com/audioset/>,,f594c270-7320-4df4-b782-05e00dbff988,T01RBRV5F7H,T01RBRV5F7H,T01RBRV5F7H,"{'avatar_hash': '4c43a3a8d10b', 'image_72': 'https://avatars.slack-edge.com/2021-03-21/1895736308209_4c43a3a8d10bc2fe5e13_72.png', 'first_name': 'siand', 'real_name': 'siand the LT (she/her)', 'display_name': 'siand the LT (she/her)', 'team': 'T01RBRV5F7H', 'name': 'sian.davies', 'is_restricted': False, 'is_ultra_restricted': False}","[{'type': 'rich_text', 'block_id': 'XoQMo', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'have you checked '}, {'type': 'link', 'url': 'https://research.google.com/audioset/'}]}]}]",1620754956.0135,U01S133DZ9A,,,,,,,,,,,,,,,finalproject
message,,1620807056.0185,U01RW140HBP,also google released these <https://www.infoq.com/news/2019/10/google-nlp-dataset/>,,4c9358ca-fc53-4652-9227-2b08fa1636d4,T01RBRV5F7H,T01RBRV5F7H,T01RBRV5F7H,"{'avatar_hash': '4c43a3a8d10b', 'image_72': 'https://avatars.slack-edge.com/2021-03-21/1895736308209_4c43a3a8d10bc2fe5e13_72.png', 'first_name': 'siand', 'real_name': 'siand the LT (she/her)', 'display_name': 'siand the LT (she/her)', 'team': 'T01RBRV5F7H', 'name': 'sian.davies', 'is_restricted': False, 'is_ultra_restricted': False}","[{'type': 'rich_text', 'block_id': 'bYr1', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'also google released these '}, {'type': 'link', 'url': 'https://www.infoq.com/news/2019/10/google-nlp-dataset/'}]}]}]",1620754956.0135,U01S133DZ9A,,,,,,,,,,"[{'service_name': 'InfoQ', 'title': 'Google Releases Two New NLP Dialog Datasets', 'title_link': 'https://www.infoq.com/news/2019/10/google-nlp-dataset/', 'text': ""Researchers from Google AI released two new dialog datasets for natural-language processing (NLP) development: Coached Conversational Preference Elicitation (CCPE) and Taskmaster-1. The datasets contain thousands of conversations as well as labels and annotations for training digital assistants to better determine users' preferences and intentions."", 'fallback': 'InfoQ: Google Releases Two New NLP Dialog Datasets', 'image_url': 'https://res.infoq.com/news/2019/10/google-nlp-dataset/en/headerimage/google-nlp-dataset-1570102637764.jpg', 'from_url': 'https://www.infoq.com/news/2019/10/google-nlp-dataset/', 'image_width': 476, 'image_height': 250, 'image_bytes': 50303, 'service_icon': 'https://cdn.infoq.com/statics_s1_20210511-0409/apple-touch-icon.png', 'id': 1, 'original_url': 'https://www.infoq.com/news/2019/10/google-nlp-dataset/'}]",,,,,finalproject
message,,1620810632.0188,U01RW140HBP,also this from stanford <https://stanfordnlp.github.io/coqa/>,,3e7c0c41-b035-4711-813f-b62c62590831,T01RBRV5F7H,T01RBRV5F7H,T01RBRV5F7H,"{'avatar_hash': '4c43a3a8d10b', 'image_72': 'https://avatars.slack-edge.com/2021-03-21/1895736308209_4c43a3a8d10bc2fe5e13_72.png', 'first_name': 'siand', 'real_name': 'siand the LT (she/her)', 'display_name': 'siand the LT (she/her)', 'team': 'T01RBRV5F7H', 'name': 'sian.davies', 'is_restricted': False, 'is_ultra_restricted': False}","[{'type': 'rich_text', 'block_id': '/h3p', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'also this from stanford '}, {'type': 'link', 'url': 'https://stanfordnlp.github.io/coqa/'}]}]}]",1620754956.0135,U01S133DZ9A,,,,,,,,,,"[{'title': 'CoQA: A Conversational Question Answering Challenge', 'title_link': 'https://stanfordnlp.github.io/coqa/', 'text': 'CoQA is a large-scale dataset for building Conversational Question Answering systems. The goal of the CoQA challenge is to measure the ability of machines to understand a text passage and answer a series of interconnected questions that appear in a conversation.', 'fallback': 'CoQA: A Conversational Question Answering Challenge', 'from_url': 'https://stanfordnlp.github.io/coqa/', 'service_icon': 'https://stanfordnlp.github.io/favicon.ico', 'service_name': 'stanfordnlp.github.io', 'id': 1, 'original_url': 'https://stanfordnlp.github.io/coqa/'}]",,,,,finalproject
message,,1620820748.0191,U01S133DZ9A,Thanks Sian! - I'll look through these.,,82a9f0da-0453-4900-9fe5-4d8b7c0f87e8,T01RBRV5F7H,T01RBRV5F7H,T01RBRV5F7H,"{'avatar_hash': 'adb8b81e55b5', 'image_72': 'https://avatars.slack-edge.com/2021-03-23/1887337161925_adb8b81e55b5ac488cf1_72.jpg', 'first_name': 'Simon', 'real_name': 'Simon Data', 'display_name': 'Simon Data', 'team': 'T01RBRV5F7H', 'name': 'simples707data', 'is_restricted': False, 'is_ultra_restricted': False}","[{'type': 'rich_text', 'block_id': 'hTQ', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': ""Thanks Sian! - I'll look through these.""}]}]}]",1620754956.0135,U01S133DZ9A,,,,,,,,,,,,,,,finalproject
message,,1620823548.0206,U01RN7BVD1C,"Ähm does anybody see a pattern in the urls for the websites I want to scrape? :confused-chloe:
Its the german charts per week.",,,,,,,"[{'type': 'rich_text', 'block_id': 'vip9', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Ähm does anybody see a pattern in the urls for the websites I want to scrape? '}, {'type': 'emoji', 'name': 'confused-chloe'}, {'type': 'text', 'text': '\nIts the german charts per week.'}]}]}]",1620823548.0206,,,27.0,4.0,1620892477.0407,"['U01RW2X7S9Z', 'U01S7BM4N81', 'U01RN7BVD1C', 'U01S7KCL3DF']","[{'user': 'U01RW2X7S9Z', 'ts': '1620823648.020900'}, {'user': 'U01RW2X7S9Z', 'ts': '1620823659.021100'}, {'user': 'U01S7BM4N81', 'ts': '1620823715.021300'}, {'user': 'U01S7BM4N81', 'ts': '1620823743.021500'}, {'user': 'U01RN7BVD1C', 'ts': '1620823836.021700'}, {'user': 'U01RN7BVD1C', 'ts': '1620823872.022000'}, {'user': 'U01S7BM4N81', 'ts': '1620823977.022200'}, {'user': 'U01S7BM4N81', 'ts': '1620823991.022400'}, {'user': 'U01RN7BVD1C', 'ts': '1620823996.022700'}, {'user': 'U01RN7BVD1C', 'ts': '1620824012.022900'}, {'user': 'U01S7BM4N81', 'ts': '1620824031.023100'}, {'user': 'U01S7BM4N81', 'ts': '1620824051.023300'}, {'user': 'U01RW2X7S9Z', 'ts': '1620824107.023500'}, {'user': 'U01RW2X7S9Z', 'ts': '1620824120.023900'}, {'user': 'U01S7BM4N81', 'ts': '1620824136.024200'}, {'user': 'U01S7BM4N81', 'ts': '1620824136.024400'}, {'user': 'U01RW2X7S9Z', 'ts': '1620824148.024600'}, {'user': 'U01RN7BVD1C', 'ts': '1620824225.025000'}, {'user': 'U01S7KCL3DF', 'ts': '1620824440.025200'}, {'user': 'U01RN7BVD1C', 'ts': '1620825145.025600'}, {'user': 'U01RN7BVD1C', 'ts': '1620837467.038900'}, {'user': 'U01S7KCL3DF', 'ts': '1620837707.039100'}, {'user': 'U01RN7BVD1C', 'ts': '1620837767.039300'}, {'user': 'U01RN7BVD1C', 'ts': '1620843905.039600'}, {'user': 'U01RW2X7S9Z', 'ts': '1620890003.040200'}, {'user': 'U01S7KCL3DF', 'ts': '1620891285.040400'}, {'user': 'U01RW2X7S9Z', 'ts': '1620892477.040700'}]",0.0,0.0,,,"[{'id': 'F021GDGPUNS', 'created': 1620823314, 'timestamp': 1620823314, 'name': 'Screenshot 2021-05-12 at 14.39.21.png', 'title': 'Screenshot 2021-05-12 at 14.39.21.png', 'mimetype': 'image/png', 'filetype': 'png', 'pretty_type': 'PNG', 'user': 'U01RN7BVD1C', 'editable': False, 'size': 61680, 'mode': 'hosted', 'is_external': False, 'external_type': '', 'is_public': True, 'public_url_shared': False, 'display_as_bot': False, 'username': '', 'url_private': 'https://files.slack.com/files-pri/T01RBRV5F7H-F021GDGPUNS/screenshot_2021-05-12_at_14.39.21.png?t=xoxe-1861879185255-2068564688150-2068564727718-519dfbdd8f50e154f7dac1ab76bfc0d2', 'url_private_download': 'https://files.slack.com/files-pri/T01RBRV5F7H-F021GDGPUNS/download/screenshot_2021-05-12_at_14.39.21.png?t=xoxe-1861879185255-2068564688150-2068564727718-519dfbdd8f50e154f7dac1ab76bfc0d2', 'thumb_64': 'https://files.slack.com/files-tmb/T01RBRV5F7H-F021GDGPUNS-c62f716f1b/screenshot_2021-05-12_at_14.39.21_64.png?t=xoxe-1861879185255-2068564688150-2068564727718-519dfbdd8f50e154f7dac1ab76bfc0d2', 'thumb_80': 'https://files.slack.com/files-tmb/T01RBRV5F7H-F021GDGPUNS-c62f716f1b/screenshot_2021-05-12_at_14.39.21_80.png?t=xoxe-1861879185255-2068564688150-2068564727718-519dfbdd8f50e154f7dac1ab76bfc0d2', 'thumb_360': 'https://files.slack.com/files-tmb/T01RBRV5F7H-F021GDGPUNS-c62f716f1b/screenshot_2021-05-12_at_14.39.21_360.png?t=xoxe-1861879185255-2068564688150-2068564727718-519dfbdd8f50e154f7dac1ab76bfc0d2', 'thumb_360_w': 360, 'thumb_360_h': 162, 'thumb_480': 'https://files.slack.com/files-tmb/T01RBRV5F7H-F021GDGPUNS-c62f716f1b/screenshot_2021-05-12_at_14.39.21_480.png?t=xoxe-1861879185255-2068564688150-2068564727718-519dfbdd8f50e154f7dac1ab76bfc0d2', 'thumb_480_w': 480, 'thumb_480_h': 216, 'thumb_160': 'https://files.slack.com/files-tmb/T01RBRV5F7H-F021GDGPUNS-c62f716f1b/screenshot_2021-05-12_at_14.39.21_160.png?t=xoxe-1861879185255-2068564688150-2068564727718-519dfbdd8f50e154f7dac1ab76bfc0d2', 'original_w': 632, 'original_h': 284, 'thumb_tiny': 'AwAVADC9nj+H86D9B+dH/fNH/fNMAPXoPzp+T6frTAM9lpdp9FoAdk/3f1oGe4xTcf7K/nSqMdgPpQAzP0/KjPsPypP8aKYC7vYH8KXd/sj8qbRQA4N/sj8qchzngD6VGKenekwP/9k=', 'permalink': 'https://data-ft-ber-03-2021.slack.com/files/U01RN7BVD1C/F021GDGPUNS/screenshot_2021-05-12_at_14.39.21.png', 'permalink_public': 'https://slack-files.com/T01RBRV5F7H-F021GDGPUNS-ef420a6f33', 'is_starred': False, 'has_rich_preview': False}]",0.0,0.0,,finalproject
